Wavelength	I1	I1dark	R1	R1dark	XCorrect	I1c	R1c	Ic1/R1c
nm	uA	uA	uA	uA				
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp 	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity
500	3.55985226604897	0.00389811213270882	2.81782391940459	0.00312931893433424	0.647101104259491	3.55595415391626	1.82139198411753	1.95232777179434
498	3.63862170665219		2.87733546945977		0.652579486370087	3.63472359451948	1.87564797343163	1.93784955706241
496	3.79094519237166		2.99463708276058		0.658019542694092	3.78704708023895	1.96847057071877	1.92385252620573
494	4.06550000328631		3.20676493835827		0.6634840965271	4.0616018911536	2.12556128455553	1.91083734948763
492	4.2981939012823		3.3841153209504		0.669135093688965	4.29429578914959	2.2623363852201	1.89816855583649
490	4.37469957236331		3.4384411703427		0.675155639648438	4.3708014602306	2.31937017042947	1.88447774139532
488	4.34913169893032		3.41329655374395		0.681718409061432	4.34523358679761	2.32477378194784	1.86909953154965
486	4.45759051441491		3.49413016670221		0.688922226428986	4.4536924022822	2.40502807650972	1.85182553408923
484	4.76809145067421		3.72872217260076		0.696800053119659	4.7641933385415	2.59599329833699	1.83521018393748
482	5.13598429832528		4.00342633654216		0.705317854881287	5.13208618619257	2.82148091134716	1.81893351308982
480	5.30673955887344		4.12482073058834		0.714412152767181	5.30284144674073	2.94458643444174	1.80087817586719
478	5.28724897789663		4.10185972237931		0.724068522453308	5.28335086576392	2.96776166715685	1.78024769449409
476	5.45050454853336		4.21857160667858		0.734353184700012	5.44660643640065	3.09562346892409	1.75945378728301
474	5.92082778884154		4.55946607797268		0.745478987693787	5.91692967670883	3.39665331471989	1.74198810666574
472	6.58255995416614		5.02269083930532		0.757483243942261	6.57866184203343	3.80223374361836	1.73020973607291
470	7.21761360885515		5.44605842062144		0.769963383674622	7.21371549672244	4.19085610823607	1.72129877772365
468	7.71635311369822		5.75871580218462		0.781956672668457	7.71245500156552	4.50061925569794	1.71364307073994
466	7.72208147305034		5.75466129048207		0.79232394695282	7.71818336091763	4.55707651272204	1.69366990862907
464	7.3053081641688		5.48003223396225		0.800474584102631	7.3014100520361	4.38412158307745	1.66542143361609
462	6.75611366441015		5.10859368808316		0.806607007980347	6.75221555227744	4.1181033391494	1.63964208670687
460	6.29587306078043		4.78888834756377		0.811446130275726	6.29197494864772	3.88338564421347	1.62022923425677
458	5.81464001094553		4.45170309500484		0.815723776817322	5.81074189881282	3.62880740206673	1.60128142802603
456	5.34458583313628		4.12128756653996		0.819841384887695	5.34068772100357	3.37623656090368	1.58184642120399
454	4.99335368121942		3.8791650553004		0.823944866657257	4.98945556908671	3.1936397479589	1.56231007967493
452	4.79066659462697		3.74840085172135		0.828078091144562	4.78676848249426	3.10137730168834	1.54343313207601
450	4.59214805538115		3.61496219258657		0.832277178764343	4.58824994324844	3.0060460742516	1.52634052503362
448	4.27112491701546		3.37930760612586		0.836676299571991	4.26722680488275	2.82476835602271	1.51064663259363
446	3.93138922989641		3.12038429417218		0.841527163982391	3.9274911177637	2.62325473872191	1.4971825114008
444	3.74491394743841		2.97511946320967		0.847182273864746	3.7410158353057	2.51781736833079	1.48581699465591
442	3.72762515112077		2.95636397988617		0.853903293609619	3.72372703898806	2.52177680378886	1.47662831753917
440	3.75276435756329		2.96720226109286		0.861756920814514	3.74886624543058	2.55431037170415	1.46766277385839
438	3.79456630075563		2.98912846461853		0.870642840862274	3.79066818862292	2.59973877901081	1.45809579763443
436	3.80322992376789		2.98366655546067		0.880387842655182	3.79933181163518	2.62402874761886	1.44790022406684
434	3.80881943790571		2.97685576935507		0.89086776971817	3.804921325773	2.64919705063825	1.43625455299986
432	3.83522665703847		2.98824224880176		0.901960015296936	3.83132854490576	2.69245250388631	1.42298834960899
430	3.84364852956341		2.98967102565152		0.913509368896484	3.8397504174307	2.72823382968625	1.40741250828646
428	3.8159049090688		2.96880522739505		0.925312757492065	3.81200679693609	2.74417775268557	1.38912531930758
426	3.73576628878355		2.91317556208999		0.937117755413055	3.73186817665084	2.72705600353423	1.36846040998586
424	3.60947782737411		2.82770005950185		0.948651552200317	3.6055797152414	2.67953341733897	1.34559983163863
422	3.45400445641332		2.72315947642348		0.959735691547394	3.45010634428061	2.61051002422761	1.32162156523472
420	3.28311204986961		2.60696743831354		0.970346570014954	3.2792139377369	2.5266253880138	1.29786313131078
418	3.29644412989447		2.6361649894664		0.980484902858734	3.29254601776176	2.58165172364522	1.27536413514088
416	3.10170128155153		2.49574317117985		0.990356862545013	3.09780316941882	2.4685772342461	1.25489416593639
414	2.94218957808734		2.38028131373105		1.00001215934753	2.93829146595463	2.37718089941396	1.2360403310825
412	2.83181107511042		2.29948875546013		1.00975608825684	2.82791296297771	2.31876292185796	1.21957830889921
410	2.73840425175319		2.22898325525358		1.01992154121399	2.73450613962048	2.27019637724795	1.20452405220353
408	2.66545010409548		2.17191001085273		1.03081369400024	2.66155199196277	2.2356088365128	1.19052669165254
406	2.60213160337193		2.11987260139269		1.0427668094635	2.59823349123922	2.2072696391024	1.17712555150073
404	2.57364882760683		2.09422527971783		1.05597054958344	2.56975071547412	2.20813575094024	1.16376482486636
402	2.57989306830454		2.09449518694331		1.07057654857636	2.57599495617183	2.23896725278344	1.15052819685924
400	2.62061611257541		2.12144285040985		1.08671152591705	2.6167180004427	2.3019957301605	1.13671713902799
398	2.68187456203766		2.16270925893637		1.10444903373718	2.67797644990496	2.38514597801345	1.12277255756707
